"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.128029760E-1;-6.918945312E-1;1.778815389E0;9.281921387E0;9.476126153E0
5.151586530E-1;-3.734794259E-1;1.893732190E0;1.009352016E1;1.027642242E1
5.175142260E-1;-3.830558062E-2;2.001466513E0;1.094103146E1;1.112265727E1
5.198696430E-1;1.747692078E-1;2.159476995E0;1.179572487E1;1.199304008E1
5.222253720E-1;6.128892899E-1;2.286364317E0;1.222905636E1;1.245603928E1
5.245807890E-1;9.241221547E-1;2.451557159E0;1.230327320E1;1.257913613E1
5.269361010E-1;6.368302703E-1;2.702937603E0;1.211174583E1;1.242601351E1
5.292923510E-1;1.795574129E-1;2.889677286E0;1.137675762E1;1.173938200E1
5.316490180E-1;-9.576395154E-2;3.114722490E0;1.035447693E1;1.081322613E1
5.340050080E-1;-3.950262964E-1;3.399620295E0;9.387261391E0;9.991703575E0
5.363608410E-1;-7.421706319E-1;3.512142897E0;8.324281693E0;9.065298157E0
5.387169870E-1;-9.001811743E-1;3.232033253E0;6.971615791E0;7.736911001E0
5.410728200E-1;-7.900525928E-1;2.695755243E0;5.851177216E0;6.490574261E0
5.434281850E-1;-7.325942516E-1;2.365369558E0;5.489668369E0;6.022302408E0
5.457840700E-1;-6.799240708E-1;2.283970356E0;5.867936134E0;6.333363388E0
5.481404760E-1;-5.147312284E-1;2.386916399E0;6.665171146E0;7.098367738E0
5.504966740E-1;-2.537744641E-1;2.374946117E0;7.507893562E0;7.878657010E0
5.528526640E-1;-3.303856254E-1;2.317487717E0;8.642696381E0;8.954111051E0
5.552088620E-1;-7.541410923E-1;2.185812235E0;9.933115959E0;1.019869092E1
5.575649560E-1;-9.504572153E-1;1.927249551E0;1.117325878E1;1.137802142E1
5.599211530E-1;-7.924466729E-1;1.821909189E0;1.219314480E1;1.235395098E1
5.622774560E-1;-3.854499161E-1;1.776421309E0;1.267196465E1;1.280167693E1
5.646327160E-1;4.069967940E-2;1.702204227E0;1.240143204E1;1.251777425E1
5.669887580E-1;3.806616962E-1;1.635169506E0;1.154195023E1;1.166341707E1
5.693442260E-1;7.349883318E-1;1.750086188E0;1.057952213E1;1.074845561E1
5.717002680E-1;8.834224343E-1;2.008648872E0;9.854110718E0;1.009547441E1
5.740565180E-1;6.176775098E-1;2.360581398E0;9.394443512E0;9.706154694E0
5.764125600E-1;2.154688835E-1;2.528168201E0;8.927594185E0;9.281163678E0
5.787681850E-1;-2.848977447E-1;2.614355803E0;8.652273178E0;9.043110866E0
5.811241220E-1;-8.068112731E-1;2.676602364E0;8.793524742E0;9.227200119E0
5.834806850E-1;-9.935510159E-1;2.753213644E0;9.152639389E0;9.609273478E0
5.858369870E-1;-9.097575545E-1;2.801095486E0;9.545271873E0;9.989294763E0
5.881937580E-1;-5.889483094E-1;2.892071247E0;9.834958076E0;1.026826843E1
5.905500600E-1;-3.016564548E-1;3.133875370E0;1.005042648E1;1.053201044E1
5.929058410E-1;2.872918546E-2;3.193727732E0;9.897204399E0;1.039977774E1
5.952625600E-1;3.040505350E-1;3.119510651E0;9.624277115E0;1.012178361E1
5.976182370E-1;1.987102032E-1;2.815460205E0;9.195733070E0;9.619137623E0
5.999739140E-1;-3.567207158E-1;2.365369558E0;8.745642662E0;9.066889676E0
6.023291740E-1;-6.775299311E-1;1.865002990E0;8.218940735E0;8.455073611E0
6.046846950E-1;-8.044171929E-1;1.565740585E0;7.922072887E0;8.115286159E0
6.070404760E-1;-1.048615217E0;1.680657387E0;8.060930252E0;8.300771028E0
6.093961530E-1;-1.201837540E0;1.738115668E0;8.120782852E0;8.391220035E0
6.117525080E-1;-1.027068377E0;1.807544589E0;8.326675415E0;8.582284682E0
6.141083930E-1;-6.655594707E-1;1.927249551E0;8.968294144E0;9.197149563E0
6.164646430E-1;-1.939219981E-1;2.106806993E0;9.868474960E0;1.009272211E1
6.188205810E-1;2.082865983E-1;2.166659355E0;1.079499149E1;1.101224943E1
6.211765180E-1;4.812138677E-1;2.300729036E0;1.154673862E1;1.178355183E1
6.235322990E-1;6.248598099E-1;2.384522438E0;1.188191223E1;1.213491802E1
6.258884450E-1;5.075489283E-1;2.492256880E0;1.187712383E1;1.214639950E1
6.282446430E-1;2.992623448E-1;2.619143963E0;1.155870914E1;1.185551476E1
6.306007370E-1;1.651928127E-1;2.815460205E0;1.093863773E1;1.129636669E1
6.329567780E-1;-1.939219981E-1;3.220062971E0;1.038320637E1;1.087278188E1
6.353125080E-1;-6.368302703E-1;3.440320015E0;9.490207672E0;1.011461301E1
6.376679240E-1;-7.661116123E-1;3.344556093E0;8.194999695E0;8.884312155E0
6.400242260E-1;-5.817660093E-1;2.949529648E0;6.784875870E0;7.421099474E0
6.423800600E-1;-4.812138677E-1;2.576050282E0;6.013976097E0;6.560145603E0
6.447359970E-1;-5.482486486E-1;2.324669838E0;5.944547176E0;6.406427052E0
6.470918830E-1;-5.051548481E-1;2.298334837E0;6.473643303E0;6.888075352E0
6.494475600E-1;-4.022085965E-1;2.291152477E0;7.270877838E0;7.633925331E0
6.518032890E-1;-4.883961678E-1;2.252846956E0;8.297945976E0;8.612186578E0
6.541594350E-1;-7.565352321E-1;2.137930155E0;9.423172951E0;9.692227781E0
6.565146950E-1;-1.039038897E0;1.900914431E0;1.064176941E1;1.086003378E1
6.588712060E-1;-9.408808351E-1;1.809938669E0;1.185078907E1;1.202507116E1
6.612272990E-1;-5.697954893E-1;1.785997748E0;1.260492992E1;1.274357537E1
6.635832890E-1;-6.464067101E-2;1.716568828E0;1.253310680E1;1.265027878E1
6.659390700E-1;5.099430680E-1;1.625593066E0;1.173826599E1;1.186125977E1
6.682955280E-1;8.092054129E-1;1.680657387E0;1.070162201E1;1.086297088E1
6.706515700E-1;7.637175322E-1;1.845850110E0;9.755952835E0;9.958365469E0
6.730078720E-1;5.171253681E-1;2.094836473E0;9.073634148E0;9.326660450E0
6.753641740E-1;1.699810177E-1;2.365369558E0;8.652273178E0;8.971382159E0
6.777199560E-1;-3.998144865E-1;2.532956600E0;8.534962654E0;8.911863344E0
6.800769350E-1;-9.672158957E-1;2.741243124E0;8.721701622E0;9.193367154E0
6.824328200E-1;-1.175502539E0;2.877706766E0;9.083210945E0;9.600402258E0
6.847890700E-1;-9.169398546E-1;2.951923847E0;9.550060272E0;1.003784261E1
6.871451640E-1;-4.141790867E-1;3.155422211E0;1.012943172E1;1.061760899E1
6.895010490E-1;1.197049394E-1;3.301462173E0;1.046700001E1;1.097597699E1
6.918576640E-1;4.141790867E-1;3.263156652E0;1.036884212E1;1.087807992E1
6.942137580E-1;4.261495769E-1;3.030929089E0;9.861292839E0;1.032536833E1
6.965693310E-1;-1.436459273E-2;2.619143963E0;9.171792030E0;9.538442771E0
6.989246950E-1;-4.046027064E-1;2.092442274E0;8.448774338E0;8.713426756E0
7.012804760E-1;-6.511948705E-1;1.654322267E0;7.862220287E0;8.060728551E0
7.036366740E-1;-1.070162177E0;1.587287545E0;7.883767128E0;8.112860961E0
7.059925600E-1;-1.498705864E0;1.733327508E0;8.094448090E0;8.412528359E0
7.083484970E-1;-1.412518263E0;1.800362349E0;8.149512291E0;8.464695093E0
7.107045910E-1;-8.786342740E-1;1.922461271E0;8.518203735E0;8.776539774E0
7.130604760E-1;-2.226511836E-1;2.078077793E0;9.183762550E0;9.418570775E0
7.154162580E-1;2.346216738E-1;2.164265394E0;1.006718540E1;1.029986961E1
7.177720910E-1;5.769777894E-1;2.197782755E0;1.085963249E1;1.109480826E1
7.201278200E-1;7.708998322E-1;2.212147236E0;1.140548706E1;1.164358265E1
7.224825080E-1;6.799240708E-1;2.288758516E0;1.157067966E1;1.181445471E1
7.248376120E-1;3.998144865E-1;2.418039799E0;1.132169342E1;1.158393327E1
7.271929760E-1;4.309377819E-2;2.623932362E0;1.088357353E1;1.119549244E1
7.295482370E-1;-4.309377670E-1;3.030929089E0;1.059867573E1;1.103196110E1
7.319033410E-1;-8.115994930E-1;3.334979534E0;1.010070324E1;1.066794208E1
7.342589660E-1;-7.852643728E-1;3.275127172E0;9.068845749E0;9.674040591E0
7.366138620E-1;-4.740315676E-1;3.030929089E0;7.900526047E0;8.475231494E0
7.389694870E-1;-3.184151351E-1;2.793913364E0;7.050621033E0;7.590691473E0
7.413252160E-1;-4.500905871E-1;2.552109241E0;6.696294308E0;7.180264659E0
7.436804760E-1;-3.830558062E-1;2.430010319E0;6.825575829E0;7.255354388E0
7.460357890E-1;-1.843456030E-1;2.303122997E0;7.213419437E0;7.574416071E0
7.483913100E-1;-4.812138677E-1;2.207359076E0;7.960378647E0;8.274758551E0
7.507467260E-1;-9.863687158E-1;2.058924913E0;8.894077301E0;9.182412868E0
7.531028200E-1;-1.400547743E0;1.874579310E0;1.002169800E1;1.029125903E1
7.554587580E-1;-1.220990419E0;1.884155750E0;1.122832298E1;1.145059376E1
7.578147470E-1;-6.679535508E-1;1.903308511E0;1.209977531E1;1.226675621E1
7.601705810E-1;-6.942886114E-2;1.821909189E0;1.215483952E1;1.229082166E1
7.625270390E-1;5.099430680E-1;1.706992388E0;1.144618607E1;1.158399933E1
7.648836010E-1;8.403286934E-1;1.726145267E0;1.056515789E1;1.073816982E1
7.672395390E-1;9.169398546E-1;1.879367590E0;9.748770714E0;9.970523139E0
7.695958930E-1;7.086532116E-1;2.061319113E0;9.080816269E0;9.338760623E0
7.719514660E-1;3.136269450E-1;2.226511955E0;8.568479538E0;8.858586735E0
7.743072990E-1;-3.782676160E-1;2.422827959E0;8.329070091E0;8.682545151E0
