"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7,858373602E1;-3,686912060E-1;1,678263307E0;9,583577156E0
7,858609597E1;-3,854499161E-1;1,668686867E0;9,602729797E0
7,858845587E1;-3,806616962E-1;1,649534106E0;9,619488716E0
7,859081706E1;-4,189672768E-1;1,654322267E0;9,629065514E0
7,859317706E1;-4,165731966E-1;1,649534106E0;9,624277115E0
7,859553748E1;-4,022085965E-1;1,668686867E0;9,633853912E0
7,859789800E1;-4,476964772E-1;1,671080947E0;9,619488716E0
7,860025837E1;-4,093908966E-1;1,699810147E0;9,619488716E0
7,860261847E1;-3,662971258E-1;1,695021987E0;9,600336075E0
7,860497842E1;-3,710853159E-1;1,704598308E0;9,621883392E0
7,860733800E1;-4,261495769E-1;1,683051467E0;9,629065514E0
7,860969805E1;-4,524846673E-1;1,683051467E0;9,631459236E0
7,861205821E1;-5,099430680E-1;1,675869107E0;9,631459236E0
7,861441857E1;-5,147312284E-1;1,654322267E0;9,636247635E0
7,861677910E1;-5,434604287E-1;1,644745827E0;9,650611877E0
7,861913956E1;-5,889483094E-1;1,644745827E0;9,667370796E0
7,862149988E1;-5,889483094E-1;1,623198986E0;9,669765472E0
7,862386003E1;-5,578250289E-1;1,618410826E0;9,672159195E0
7,862621988E1;-5,793719292E-1;1,625593066E0;9,655400276E0
7,862858034E1;-5,338840485E-1;1,589681625E0;9,679341316E0
7,863094107E1;-4,429082870E-1;1,623198986E0;9,722434998E0
7,863330227E1;-5,099430680E-1;1,637563586E0;9,746376038E0
7,863566253E1;-5,530368090E-1;1,685445547E0;9,732011795E0
7,863802295E1;-5,314899087E-1;1,683051467E0;9,643429756E0
7,864038316E1;-5,482486486E-1;1,690233707E0;9,593153954E0
7,864274342E1;-5,434604287E-1;1,692627788E0;9,559636116E0
7,864510384E1;-5,338840485E-1;1,683051467E0;9,547665596E0
7,864746451E1;-4,788197577E-1;1,671080947E0;9,533301353E0
7,864982493E1;-4,548787773E-1;1,692627788E0;9,504571915E0
7,865218498E1;-4,141790867E-1;1,697416067E0;9,504571915E0
7,865454519E1;-4,261495769E-1;1,695021987E0;9,487813950E0
7,865690555E1;-4,500905871E-1;1,697416067E0;9,494996071E0
7,865926566E1;-4,405141771E-1;1,704598308E0;9,509360313E0
