"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
2.126215530E3;2.367763758E0;3.670153379E0;8.467926979E0
2.126217891E3;2.384522438E0;3.641424179E0;8.455956459E0
2.126220252E3;2.758001804E0;3.507354736E0;8.429621696E0
2.126222612E3;2.602385283E0;3.651000738E0;8.645091057E0
2.126224973E3;2.559291601E0;3.667759418E0;8.750431061E0
2.126227334E3;2.633508682E0;3.481019735E0;8.704943657E0
2.126229694E3;2.461133480E0;3.545660257E0;8.862954140E0
2.126232054E3;2.432404280E0;3.512142897E0;8.918018341E0
2.126234415E3;2.362975597E0;3.490596056E0;8.953929901E0
2.126236776E3;2.283970356E0;3.457078695E0;8.870136261E0
2.126239137E3;2.260029316E0;3.528901577E0;8.795919418E0
2.126241498E3;2.224117756E0;3.495384216E0;8.652273178E0
2.126243859E3;2.334246397E0;3.526507616E0;8.580450058E0
2.126246220E3;2.444374800E0;3.567207098E0;8.518203735E0
2.126248581E3;2.561685801E0;3.646212339E0;8.515809059E0
2.126250941E3;2.681390762E0;3.629453659E0;8.472715378E0
2.126253301E3;2.734060764E0;3.612694979E0;8.489474297E0
2.126255661E3;2.690967083E0;3.679729939E0;8.604391098E0
2.126258022E3;2.595203161E0;3.593542337E0;8.666637421E0
2.126260382E3;2.626326323E0;3.583965778E0;8.755219460E0
2.126262742E3;2.489862680E0;3.564813137E0;8.855771065E0
2.126265103E3;2.446768999E0;3.538477898E0;8.886894226E0
2.126267464E3;2.382128239E0;3.543266296E0;8.908441544E0
2.126269824E3;2.391704798E0;3.466655016E0;8.860559464E0
2.126272185E3;2.453951359E0;3.555236816E0;8.836618423E0
2.126274546E3;2.494650841E0;3.516931057E0;8.726490021E0
2.126276906E3;2.597597122E0;3.588754177E0;8.695366859E0
2.126279267E3;2.674208403E0;3.591148138E0;8.621150017E0
2.126281628E3;2.729272604E0;3.658182859E0;8.618755341E0
2.126283989E3;2.772366285E0;3.636636019E0;8.542144775E0
2.126286350E3;2.693361044E0;3.674941540E0;8.570873260E0
2.126288710E3;2.655055523E0;3.631847858E0;8.582843781E0
2.126291071E3;2.674208403E0;3.651000738E0;8.654666901E0
2.126293432E3;2.623932362E0;3.662971258E0;8.724096298E0
2.126295793E3;2.698149443E0;3.643818378E0;8.762401581E0
2.126298153E3;2.678996563E0;3.677335739E0;8.822254181E0
2.126300513E3;2.686178923E0;3.662971258E0;8.807888985E0
2.126302874E3;2.693361044E0;3.655788898E0;8.786342621E0
2.126305234E3;2.659843683E0;3.653394699E0;8.712125778E0
