"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
4.808818100E2;1.606440306E0;4.239948750E0;8.659455299E0
4.808841712E2;1.604046226E0;4.249525547E0;8.645091057E0
4.808865318E2;1.620804906E0;4.230372429E0;8.659455299E0
4.808888931E2;1.623198986E0;4.237555027E0;8.661849022E0
4.808912541E2;1.632775426E0;4.220796108E0;8.671425819E0
4.808936146E2;1.647140026E0;4.237555027E0;8.642696381E0
4.808959747E2;1.623198986E0;4.235160828E0;8.649878502E0
4.808983354E2;1.647140026E0;4.230372429E0;8.666637421E0
4.809006961E2;1.644745827E0;4.213613987E0;8.647484779E0
4.809030572E2;1.647140026E0;4.220796108E0;8.647484779E0
4.809054182E2;1.625593066E0;4.230372429E0;8.654666901E0
4.809077786E2;1.630381227E0;4.230372429E0;8.654666901E0
4.809101391E2;1.623198986E0;4.242342949E0;8.669032097E0
4.809124999E2;1.608834386E0;4.239948750E0;8.681002617E0
4.809148609E2;1.620804906E0;4.223190308E0;8.657061577E0
4.809172221E2;1.630381227E0;4.239948750E0;8.678607941E0
4.809195834E2;1.613622546E0;4.242342949E0;8.642696381E0
4.809219445E2;1.623198986E0;4.232766628E0;8.642696381E0
4.809243054E2;1.627987146E0;4.239948750E0;8.654666901E0
4.809266663E2;1.594469786E0;4.268678188E0;8.640302658E0
4.809290270E2;1.635169506E0;4.244737148E0;8.659455299E0
4.809313878E2;1.637563586E0;4.225584507E0;8.640302658E0
4.809337485E2;1.630381227E0;4.249525547E0;8.642696381E0
4.809361098E2;1.647140026E0;4.213613987E0;8.657061577E0
4.809384706E2;1.637563586E0;4.242342949E0;8.659455299E0
4.809408314E2;1.651928186E0;4.227978230E0;8.661849022E0
4.809431919E2;1.632775426E0;4.242342949E0;8.649878502E0
4.809455526E2;1.651928186E0;4.230372429E0;8.657061577E0
4.809479130E2;1.616016626E0;4.242342949E0;8.659455299E0
4.809502737E2;1.623198986E0;4.220796108E0;8.621150017E0
4.809526348E2;1.611228466E0;4.239948750E0;8.642696381E0
4.809549951E2;1.647140026E0;4.249525547E0;8.645091057E0
4.809573554E2;1.618410826E0;4.235160828E0;8.666637421E0
4.809597150E2;1.601652145E0;4.242342949E0;8.669032097E0
4.809620755E2;1.632775426E0;4.247131348E0;8.659455299E0
4.809644354E2;1.632775426E0;4.225584507E0;8.664243698E0
4.809667953E2;1.661504507E0;4.218401909E0;8.652273178E0
4.809691554E2;1.642351747E0;4.225584507E0;8.657061577E0
4.809715160E2;1.659110427E0;4.225584507E0;8.640302658E0
4.809738767E2;1.642351747E0;4.227978230E0;8.654666901E0
4.809762370E2;1.630381227E0;4.239948750E0;8.671425819E0
4.809785972E2;1.637563586E0;4.268678188E0;8.647484779E0
4.809809576E2;1.639957666E0;4.244737148E0;8.635514259E0
4.809833173E2;1.625593066E0;4.237555027E0;8.649878502E0
4.809856772E2;1.625593066E0;4.235160828E0;8.654666901E0
4.809880366E2;1.613622546E0;4.230372429E0;8.669032097E0
4.809903970E2;1.647140026E0;4.227978230E0;8.657061577E0
4.809927571E2;1.620804906E0;4.239948750E0;8.669032097E0
4.809951173E2;1.627987146E0;4.249525547E0;8.659455299E0
4.809974777E2;1.654322267E0;4.244737148E0;8.637907982E0
4.809998372E2;1.632775426E0;4.235160828E0;8.630725861E0
4.810021971E2;1.630381227E0;4.227978230E0;8.659455299E0
4.810045572E2;1.618410826E0;4.225584507E0;8.642696381E0
4.810069175E2;1.651928186E0;4.242342949E0;8.664243698E0
4.810092782E2;1.644745827E0;4.244737148E0;8.657061577E0
4.810116378E2;1.635169506E0;4.220796108E0;8.647484779E0
4.810139978E2;1.671080947E0;4.227978230E0;8.654666901E0
4.810163576E2;1.659110427E0;4.225584507E0;8.649878502E0
4.810187178E2;1.627987146E0;4.242342949E0;8.681002617E0
4.810210778E2;1.625593066E0;4.249525547E0;8.664243698E0
4.810234371E2;1.635169506E0;4.225584507E0;8.654666901E0
4.810257969E2;1.635169506E0;4.239948750E0;8.657061577E0
4.810281570E2;1.613622546E0;4.223190308E0;8.659455299E0
4.810305174E2;1.627987146E0;4.216008186E0;8.661849022E0
4.810328778E2;1.632775426E0;4.225584507E0;8.669032097E0
4.810352373E2;1.618410826E0;4.220796108E0;8.652273178E0
4.810375972E2;1.618410826E0;4.227978230E0;8.671425819E0
4.810399572E2;1.623198986E0;4.247131348E0;8.657061577E0
4.810423173E2;1.613622546E0;4.232766628E0;8.664243698E0
4.810446770E2;1.647140026E0;4.249525547E0;8.659455299E0
4.810470366E2;1.635169506E0;4.230372429E0;8.664243698E0
4.810493963E2;1.625593066E0;4.242342949E0;8.652273178E0
4.810517563E2;1.656716347E0;4.244737148E0;8.640302658E0
4.810541164E2;1.656716347E0;4.227978230E0;8.673819542E0
4.810564764E2;1.642351747E0;4.242342949E0;8.647484779E0
4.810588362E2;1.637563586E0;4.232766628E0;8.633120537E0
4.810611962E2;1.654322267E0;4.220796108E0;8.635514259E0
4.810635573E2;1.632775426E0;4.237555027E0;8.645091057E0
4.810659172E2;1.644745827E0;4.223190308E0;8.664243698E0
4.810682774E2;1.596863866E0;4.227978230E0;8.654666901E0
4.810706375E2;1.627987146E0;4.216008186E0;8.659455299E0
4.810729978E2;1.625593066E0;4.244737148E0;8.645091057E0
4.810753584E2;1.642351747E0;4.211219788E0;8.647484779E0
4.810777186E2;1.613622546E0;4.239948750E0;8.666637421E0
4.810800790E2;1.661504507E0;4.232766628E0;8.645091057E0
4.810824391E2;1.644745827E0;4.251919270E0;8.647484779E0
4.810847995E2;1.635169506E0;4.227978230E0;8.678607941E0
