"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
8.401402627E1;1.805150509E0;4.371624470E0;5.937365055E0
8.401638659E1;-9.217280149E-1;6.327602863E0;7.043438435E0
8.401874726E1;1.374212742E0;3.689306259E0;5.164071083E0
8.402110820E1;8.762401342E-1;5.326869965E0;6.780087948E0
8.402346872E1;-1.352665782E0;5.796113014E0;8.637907982E0
8.402582919E1;1.651928186E0;3.464261055E0;7.483952999E0
8.402818961E1;-2.465921789E-1;5.678802490E0;1.007436752E1
8.403055008E1;-1.321542501E0;4.479358673E0;9.645824432E0
8.403291039E1;1.453217983E0;3.064446449E0;8.889288902E0
8.403527075E1;-7.325942516E-1;5.041972160E0;1.009591484E1
8.403763101E1;-5.171253681E-1;5.504033089E0;1.057952213E1
8.403999154E1;2.339034557E0;1.999072433E0;6.588560104E0
8.404235211E1;-2.609567642E-1;5.990035057E0;9.401625633E0
8.404471232E1;-6.009187698E-1;4.881567478E0;9.183762550E0
8.404707284E1;2.449162960E0;2.346216917E0;6.959645271E0
8.404943315E1;-6.847122312E-1;5.118583202E0;9.811017036E0
8.405179440E1;-6.942886710E-1;5.101824284E0;1.039038849E1
8.405415466E1;1.936825871E0;2.825036526E0;8.946746826E0
8.405651492E1;-7.038650513E-1;4.151367188E0;1.020604324E1
8.405887534E1;-5.219135284E-1;4.797773838E0;1.087399673E1
8.406123627E1;4.764256477E-1;2.841795206E0;8.886894226E0
8.406359706E1;-4.812138677E-1;4.757074356E0;9.992968559E0
8.406595799E1;5.458545089E-1;4.527240753E0;9.107151985E0
8.406831799E1;8.068112731E-1;4.515270233E0;8.135148048E0
8.407067862E1;-2.202570885E-1;4.577517033E0;7.148778915E0
8.407303893E1;1.675869226E-1;5.125765324E0;6.574195385E0
8.407539992E1;-4.476964772E-1;5.403481007E0;6.327602863E0
8.407776117E1;4.500905871E-1;3.964627504E0;4.922266960E0
8.408012247E1;8.858165741E-1;6.021158218E0;6.660382748E0
8.408248341E1;-9.504572153E-1;5.391510487E0;7.309183598E0
8.408484393E1;1.096497297E0;3.397226095E0;6.401820183E0
8.408720450E1;-1.795574129E-1;5.240682125E0;8.843800545E0
8.408956513E1;-8.834224343E-1;4.989301682E0;1.005282116E1
8.409192539E1;2.212147236E0;3.160210371E0;1.019646645E1
8.409428518E1;1.010309696E0;3.744370461E0;1.157307339E1
8.409664591E1;-2.370157838E-1;5.523185730E0;1.365593910E1
8.409900695E1;1.364636302E0;1.977525592E0;1.044066525E1
8.410136747E1;-3.591148257E-1;3.957445383E0;1.125705242E1
8.410372820E1;-1.606440306E0;4.436264992E0;1.130493450E1
8.410608851E1;6.488007903E-1;2.714908123E0;8.599602699E0
8.410844924E1;-5.386722088E-1;4.828897476E0;8.815072060E0
8.411080966E1;-5.793719292E-1;4.876779079E0;7.723362923E0
8.411317023E1;1.668686867E0;4.113061905E0;6.011581898E0
8.411553164E1;2.872918546E-2;5.312505245E0;6.492795944E0
8.411789242E1;1.412518322E-1;4.874385357E0;6.107346058E0
8.412025377E1;9.001811743E-1;4.994090080E0;6.619683266E0
8.412261502E1;-6.081010699E-1;5.037183762E0;7.577322483E0
8.412497523E1;3.615089059E-1;4.383594990E0;7.850249767E0
8.412733627E1;-2.011042982E-1;4.962966919E0;9.339379311E0
8.412969732E1;-1.015097857E0;5.073095322E0;9.978603363E0
8.413205794E1;7.397765517E-1;3.351738214E0;9.068845749E0
8.413441877E1;5.626131892E-1;4.189672947E0;9.231644630E0
8.413677924E1;-2.992623448E-1;6.341967583E0;1.117565346E1
8.413913950E1;1.958372831E0;2.042166233E0;6.792058468E0
8.414150065E1;6.895004511E-1;5.312505245E0;8.939564705E0
8.414386117E1;-1.007915616E0;5.305323124E0;9.143063545E0
8.414622185E1;1.503494024E0;2.863342047E0;7.536623001E0
8.414858273E1;-3.088387549E-1;4.137002945E0;8.968294144E0
8.415094320E1;-1.374212742E0;5.410663128E0;1.058670521E1
8.415330393E1;8.307522535E-1;3.117116690E0;9.198127747E0
8.415566492E1;-3.327797353E-1;3.526507616E0;9.705676079E0
8.415802596E1;-6.990768313E-1;5.104218483E0;1.120677662E1
8.416038607E1;8.738460541E-1;3.033323050E0;8.989840508E0
8.416274680E1;7.469588518E-1;4.548787594E0;8.827042580E0
8.416510732E1;4.931843579E-1;5.413057327E0;8.403286934E0
8.416746726E1;1.608834386E0;4.589487553E0;6.672353268E0
8.416982706E1;8.020231128E-1;4.565546513E0;5.750625134E0
8.417218726E1;-4.572728574E-1;5.860754013E0;6.241415501E0
8.417454773E1;-9.887627959E-1;5.262228966E0;6.212686539E0
8.417690773E1;-5.745837092E-2;3.236821651E0;4.146579266E0
8.417926841E1;-9.049693346E-1;6.294085503E0;7.045832634E0
8.418162857E1;-1.709386587E0;4.962966919E0;7.323548317E0
8.418398862E1;1.671080947E0;2.925588608E0;6.519131184E0
8.418634956E1;-1.364636272E-1;5.990035057E0;1.004803276E1
8.418870992E1;1.244931370E-1;4.860020638E0;9.674552917E0
8.419107049E1;3.746764660E0;2.686178923E0;8.697760582E0
8.419343096E1;8.786342740E-1;5.791325092E0;1.172150803E1
8.419579117E1;5.745837092E-2;4.352471828E0;1.064655685E1
8.419815112E1;1.750086188E0;2.351005077E0;8.795919418E0
8.420051081E1;-2.532956600E0;5.125765324E0;1.060585785E1
8.420287127E1;-2.286364317E0;4.072361946E0;8.736066818E0
8.420523169E1;6.799240708E-1;2.688572884E0;7.134414196E0
8.420759190E1;-1.608834386E0;4.826503277E0;8.396104813E0
8.420995273E1;-7.206237316E-1;5.144918442E0;8.623543739E0
8.421231341E1;1.613622546E0;2.655055523E0;6.674747467E0
8.421467404E1;-3.710853159E-1;5.719501972E0;9.784681320E0
8.421703544E1;1.699810177E-1;3.849710941E0;8.580450058E0
8.421939575E1;1.534617305E0;3.938292503E0;9.406414032E0
8.422175674E1;-7.637175322E-1;4.606245995E0;1.070162201E1
8.422411669E1;-3.830558062E-1;3.856893063E0;1.046460533E1
8.422647742E1;-3.327797353E-1;4.711586475E0;1.135042191E1
8.422883789E1;-6.942886710E-1;3.698882580E0;1.001690960E1
8.423119778E1;6.823181510E-1;4.160943508E0;9.971421242E0
8.423355820E1;6.895004511E-1;4.881567478E0;1.011506748E1
8.423591867E1;1.177896619E0;3.981386185E0;8.989840508E0
8.423827877E1;1.295207500E0;3.820981741E0;8.743248940E0
8.424063935E1;-4.644551575E-1;5.027607441E0;9.942691803E0
8.424299976E1;2.130747885E-1;3.713247299E0;9.348956108E0
8.424535997E1;7.517470121E-1;3.023746729E0;9.375290871E0
8.424772096E1;-1.096497297E0;4.505693913E0;1.116368294E1
8.425008169E1;-3.495384157E-1;3.619877338E0;1.104158401E1
8.425244258E1;4.548787773E-1;3.208092451E0;1.105594826E1
8.425480310E1;-6.751358509E-1;3.847316742E0;1.153237343E1
8.425716351E1;7.230178118E-1;4.259101868E0;1.155631447E1
8.425952430E1;1.714174747E0;3.121904850E0;1.035208321E1
8.426188497E1;1.534617305E0;4.417112350E0;1.092187881E1
8.426424549E1;1.096497297E0;4.934237480E0;1.085723782E1
8.426660627E1;1.079738498E0;3.761129141E0;9.305862427E0
8.426896721E1;1.098891377E0;3.976598024E0;8.831830025E0
8.427132779E1;5.841600895E-1;5.731472492E0;9.698493958E0
8.427368846E1;-5.985246971E-2;4.103485107E0;6.519131184E0
8.427604841E1;-2.346216738E-1;4.000539303E0;3.627059698E0
8.427840883E1;-3.093175650E0;7.108079433E0;4.206431389E0
8.428076950E1;-2.576050282E0;4.527240753E0;1.280842900E0
8.428312914E1;-1.077344418E-1;5.597403049E0;1.553770065E0
8.428548904E1;-1.807544589E0;7.110473633E0;3.083599329E0
