"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.445606930E-1;2.130748034E0;2.475498199E0;9.674552917E0;1.021103093E1
3.469166300E-1;-1.153955579E0;5.226317883E0;1.196091747E1;1.310379941E1
3.492725680E-1;-1.730933428E0;3.507354736E0;1.050051689E1;1.120528995E1
3.516285050E-1;-1.316754341E0;3.064446449E0;9.348956108E0;9.926109729E0
3.539841300E-1;-3.042899609E0;5.008454800E0;9.662582397E0;1.130085643E1
3.563404840E-1;-9.648218155E-1;4.165731907E0;7.517470360E0;8.648500683E0
3.586968390E-1;-2.920800447E-1;4.031662464E0;6.497584343E0;7.652333975E0
3.610525680E-1;2.154688910E-2;6.521524906E0;7.610839844E0;1.002275583E1
3.634090260E-1;1.608834386E0;4.338107109E0;5.645285130E0;7.299093476E0
3.657645470E-1;1.654322267E0;5.539944649E0;6.559830666E0;8.744092133E0
3.681200160E-1;5.243076086E-1;5.884695053E0;7.936437607E0;9.894017193E0
3.704752240E-1;9.767923355E-1;4.520058632E0;8.008260727E0;9.247556065E0
3.728305890E-1;-6.320420504E-1;5.099430561E0;9.236433029E0;1.056954892E1
3.751861610E-1;-1.685445547E0;5.307716846E0;1.004803276E1;1.148806107E1
3.775418390E-1;-8.020231128E-1;3.397226095E0;8.669032097E0;9.345400137E0
3.798977760E-1;-1.596863866E0;4.886355400E0;9.849322319E0;1.111015722E1
3.822537140E-1;-5.003666282E-1;4.934237480E0;9.279526711E0;1.052172430E1
3.846096510E-1;6.511948705E-1;4.493723392E0;8.238094330E0;9.406582954E0
3.869658490E-1;6.966827512E-1;5.125765324E0;7.608446121E0;9.200396154E0
3.893213180E-1;5.985246897E-1;4.972543240E0;7.694633484E0;9.181056722E0
3.916776720E-1;8.618755341E-1;5.018031120E0;8.127964973E0;9.590999967E0
3.940340260E-1;4.668492675E-1;4.005327225E0;7.498317242E0;8.513833207E0
3.963897550E-1;-2.202570885E-1;5.362781525E0;9.777499199E0;1.115380785E1
3.987460050E-1;1.795574129E-1;4.335712910E0;9.509360313E0;1.045268295E1
4.011020990E-1;-3.902381063E-1;4.290225029E0;1.017252541E1;1.104710775E1
4.034582970E-1;-7.493529320E-1;4.405141830E0;1.026350117E1;1.119402790E1
4.058141300E-1;-3.303856254E-1;3.605512857E0;9.444719315E0;1.011491970E1
4.081701720E-1;-1.187473059E0;4.735527515E0;1.014379692E1;1.125752766E1
4.105259010E-1;2.441980839E-1;4.330924511E0;9.298679352E0;1.026070063E1
4.128819430E-1;9.576395154E-1;4.117849827E0;8.245276451E0;9.265977789E0
4.152382450E-1;2.585626841E-1;6.100163937E0;8.836618423E0;1.074079512E1
4.175943910E-1;6.535889506E-1;3.421167135E0;6.124104500E0;7.045297652E0
4.199507450E-1;-2.657449543E-1;6.140863419E0;7.620416641E0;9.790381693E0
4.223065260E-1;-1.632775426E0;5.118583202E0;6.854304790E0;8.709038050E0
4.246623590E-1;-1.268872321E-1;4.910296440E0;6.464066505E0;8.118575447E0
4.270182970E-1;-5.650073290E-1;4.783409595E0;5.683590412E0;7.450063128E0
4.293741300E-1;-1.333513021E0;6.346755981E0;7.895737648E0;1.021774151E1
4.317300680E-1;5.362781286E-1;3.562418938E0;6.243809700E0;7.208577009E0
4.340865780E-1;-4.596669674E-1;6.071434498E0;9.092786789E0;1.094314316E1
4.364433490E-1;4.644551575E-1;4.950996399E0;8.673819542E0;9.998161300E0
4.387995470E-1;2.286364317E0;4.026874065E0;8.817465782E0;9.959461800E0
4.411554840E-1;9.815804958E-1;4.783409595E0;1.049333477E1;1.157387499E1
4.435115260E-1;1.091709018E0;4.958178520E0;1.168559647E1;1.274082131E1
4.458675680E-1;3.662971258E-1;2.738848925E0;1.004085064E1;1.041413216E1
4.482232450E-1;-1.218596339E0;5.211953163E0;1.208062267E1;1.321328411E1
4.505790780E-1;-1.491523504E0;3.457078695E0;1.054600525E1;1.119795795E1
4.529342860E-1;-6.535889506E-1;3.543266296E0;9.562030792E0;1.021833389E1
4.552901200E-1;-1.666292787E0;4.723556995E0;9.020964622E0;1.031825204E1
4.576456930E-1;-3.423561156E-1;4.783409595E0;7.586899281E0;8.975480809E0
4.600020470E-1;4.620610774E-1;4.876779079E0;6.952462673E0;8.504893406E0
4.623580890E-1;9.145457149E-1;5.628526211E0;6.650806427E0;8.760703585E0
4.647142340E-1;1.400547743E0;5.494456768E0;6.042705536E0;8.286427418E0
4.670707970E-1;1.177896619E0;4.522452831E0;5.290958405E0;7.059338559E0
4.694267340E-1;5.267017335E-2;5.381934166E0;6.837546349E0;8.701725667E0
4.717825160E-1;-1.240143180E0;5.231105804E0;8.738460541E0;1.025978146E1
4.741377760E-1;-8.355404735E-1;4.120244026E0;9.152639389E0;1.007200807E1
4.764931930E-1;-1.620804906E0;4.840867519E0;1.052685261E1;1.169938600E1
4.788498590E-1;-1.295207500E0;4.694827557E0;1.068965149E1;1.174681307E1
4.812062660E-1;-5.195194483E-1;3.500172377E0;9.782287598E0;1.040260822E1
4.835630360E-1;-7.541410923E-1;4.819320679E0;1.014858437E1;1.126003309E1
4.859189740E-1;2.968682647E-1;5.764989853E0;9.959450722E0;1.151146808E1
4.882755360E-1;2.298334837E0;4.148972988E0;7.318759918E0;8.721270929E0
4.906320990E-1;2.080471754E0;6.215080261E0;7.462406158E0;9.931922827E0
4.929888700E-1;1.323936582E0;4.824109077E0;6.241415501E0;7.998756398E0
4.953449110E-1;9.983391762E-1;5.475304127E0;6.825575829E0;8.807049550E0
4.977005360E-1;-1.027068377E0;3.909563303E0;6.229444981E0;7.426004271E0
5.000556930E-1;-1.039038897E0;5.379539967E0;8.827042580E0;1.038921233E1
5.024110570E-1;-8.666637540E-1;3.926321983E0;9.095181465E0;9.944316782E0
5.047662660E-1;-8.092054129E-1;4.359653950E0;1.069204521E1;1.157502599E1
5.071224640E-1;-1.249719620E0;3.988568544E0;1.077583885E1;1.155807861E1
5.094785050E-1;-9.791864157E-1;3.315826893E0;1.044305897E1;1.100049974E1
5.118339220E-1;-1.393365502E0;4.383594990E0;1.137915134E1;1.227364892E1
5.141897030E-1;6.488007903E-1;4.101091385E0;1.061543369E1;1.139856682E1
5.165460570E-1;2.231300116E0;4.713980675E0;9.892416000E0;1.118303216E1
5.189021510E-1;2.288758516E0;5.527974129E0;8.805495262E0;1.064582831E1
5.212578800E-1;1.967949152E0;5.058730602E0;7.251725197E0;9.058206086E0
5.236131930E-1;6.775299311E-1;5.137735844E0;5.968488216E0;7.904317048E0
5.259686610E-1;-1.414912343E0;5.530368328E0;6.203109741E0;8.430036847E0
5.283243390E-1;-8.953929543E-1;5.573462009E0;5.568673611E0;7.929396767E0
5.306795990E-1;-1.376606822E0;4.912690639E0;5.001272202E0;7.144389358E0
5.330349110E-1;-1.809938669E0;5.671619892E0;5.628526211E0;8.192890668E0
5.353903800E-1;-2.228905916E0;4.414718151E0;6.128892899E0;7.875346729E0
5.377463700E-1;-1.611228466E0;4.742709637E0;7.443253040E0;8.971698150E0
5.401023590E-1;-1.237749100E0;5.032395840E0;9.188550949E0;1.054924164E1
5.424587660E-1;1.601652145E0;4.213613987E0;9.485419273E0;1.050204795E1
5.448148590E-1;2.688572884E0;4.888749599E0;1.128817558E1;1.259171175E1
5.471710050E-1;2.863342047E0;4.287830830E0;1.205907536E1;1.311508747E1
5.495272550E-1;2.714908123E0;4.357259750E0;1.254986572E1;1.355933510E1
5.518828280E-1;6.128892899E-1;3.974204063E0;1.206625748E1;1.271866741E1
5.542384010E-1;-1.819515079E-1;4.295013428E0;1.194415855E1;1.269421799E1
5.565935050E-1;-1.379000902E0;4.235160828E0;1.048136425E1;1.138846905E1
5.589489220E-1;-2.224117756E0;3.844922543E0;8.934776306E0;9.977993626E0
5.613045990E-1;-2.482680559E0;4.340501308E0;7.019497871E0;8.618410801E0
5.636605360E-1;-2.810672045E0;5.013242722E0;5.894271374E0;8.232552153E0
5.660154320E-1;-1.094103098E0;5.398692608E0;5.319687366E0;7.657807594E0
5.683706410E-1;1.070162177E0;4.989301682E0;4.472176552E0;6.785185441E0
5.707256930E-1;1.479553103E0;6.468854904E0;5.520792007E0;8.632166909E0
5.730813700E-1;2.647873163E0;4.496117592E0;4.833685398E0;7.112722419E0
5.754365260E-1;1.740509868E0;4.833685398E0;6.981192112E0;8.667810129E0
5.777921510E-1;-2.441980839E-1;6.265356541E0;1.065373993E1;1.236189709E1
5.801474640E-1;3.399620354E-1;3.677335739E0;1.065134525E1;1.127339913E1
5.825030890E-1;-5.338840485E-1;4.603851795E0;1.215005112E1;1.300400806E1
5.848591820E-1;-2.015831232E0;4.350077629E0;1.210216904E1;1.301726724E1
5.872144430E-1;-1.551375985E0;3.325403214E0;1.091230202E1;1.151274986E1
5.895704840E-1;-2.413251638E0;3.864075422E0;1.008154964E1;1.106311464E1
5.919258490E-1;-1.752480268E0;5.714713573E0;9.980998039E0;1.163397869E1
5.942815260E-1;1.489129424E0;4.864808559E0;7.234966755E0;8.844694043E0
5.966364740E-1;2.834612846E0;5.415451527E0;5.647678852E0;8.322164481E0
5.989919950E-1;2.202570915E0;6.294085503E0;5.386722088E0;8.572257917E0
6.013474640E-1;2.054136753E0;4.388382912E0;4.079544544E0;6.334040264E0
6.037027240E-1;-2.657449543E-1;5.439392567E0;6.248597622E0;8.288702197E0
6.060581930E-1;-1.003127337E0;5.506427288E0;8.144723892E0;9.882486186E0
6.084146510E-1;-1.604046226E-1;3.765917301E0;9.133486748E0;9.880710649E0
6.107706410E-1;-1.276054621E0;4.860020638E0;1.151322079E1;1.256194129E1
6.131261610E-1;-1.879367590E0;3.375679255E0;1.144139767E1;1.207612577E1
6.154808490E-1;-2.592808962E0;3.210486412E0;1.150843334E1;1.222595270E1
6.178357970E-1;-2.461133480E0;3.727611780E0;1.159222603E1;1.242304197E1
6.201912140E-1;-4.716374576E-1;4.474570751E0;1.169996071E1;1.253528244E1
6.225469950E-1;2.434798479E0;4.623004913E0;1.042869473E1;1.166439419E1
6.249025160E-1;4.026874065E0;4.946208000E0;8.736066818E0;1.081663311E1
6.272581930E-1;3.378073454E0;5.573462009E0;7.187084675E0;9.702012428E0
6.296148590E-1;1.388577342E0;5.061124802E0;5.676408291E0;7.730765963E0
6.319710050E-1;-4.764256477E-1;5.659649372E0;5.662043571E0;8.019809837E0
6.343268390E-1;-1.750086188E0;5.293352604E0;5.319687366E0;7.705936486E0
6.366830890E-1;-2.224117756E0;6.241415501E0;5.934970856E0;8.895271008E0
6.390388700E-1;-2.418039799E0;4.110667706E0;4.244737148E0;6.384535920E0
6.413943910E-1;-3.090781450E0;5.767384052E0;5.901453495E0;8.811515314E0
6.437497550E-1;-3.545660257E0;4.316560268E0;6.442519665E0;8.527042796E0
6.461052760E-1;-5.195194483E-1;4.699615955E0;8.010654449E0;9.301982331E0
6.484607450E-1;9.265162349E-1;4.958178520E0;9.621883392E0;1.086382099E1
6.508169430E-1;4.453023911E0;4.661310196E0;1.083329678E1;1.260625058E1
