"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.383943820E-1;5.267017484E-1;6.332391262E0;6.497584343E0;9.088189925E0
4.407512570E-1;2.848977447E-1;5.427422047E0;6.895004272E0;8.779473829E0
4.431073500E-1;5.745837092E-2;4.860020638E0;7.572534561E0;8.998132125E0
4.454634960E-1;-1.316754371E-1;4.639763355E0;8.673819542E0;9.837676954E0
4.478200590E-1;-2.250452936E-1;4.340501308E0;1.018210220E1;1.107094406E1
4.501769860E-1;-1.077344418E-1;4.065179825E0;1.168559647E1;1.237297290E1
4.525340170E-1;2.513803840E-1;3.883228302E0;1.295207405E1;1.352401110E1
4.548908920E-1;6.775299311E-1;3.006988049E0;1.218117428E1;1.256511165E1
4.572478190E-1;7.637175322E-1;2.760396004E0;1.177178383E1;1.211519480E1
4.596049550E-1;6.751358509E-1;3.550448418E0;1.249719524E1;1.300928059E1
4.619619860E-1;4.740315676E-1;3.753946781E0;1.202077007E1;1.260221153E1
4.643188090E-1;2.537744641E-1;3.593542337E0;1.059867573E1;1.119418935E1
4.666758400E-1;-7.182296365E-3;4.034056664E0;9.597942352E0;1.041125171E1
4.690327150E-1;-2.825036645E-1;4.450629711E0;8.115994453E0;9.260522616E0
4.713897460E-1;-5.530368090E-1;5.353204727E0;7.397765160E0;9.148200912E0
4.737468820E-1;-6.368302703E-1;5.592614651E0;6.413790703E0;8.533440256E0
4.761038090E-1;-5.410663486E-1;5.480092049E0;5.312505245E0;7.651592882E0
4.784600070E-1;-5.099430680E-1;6.083405018E0;5.855965614E0;8.459325731E0
4.808158920E-1;-3.639030159E-1;5.946941376E0;5.492062569E0;8.103165331E0
4.831721940E-1;-1.053403467E-1;6.073828697E0;5.465727329E0;8.171699142E0
4.855290170E-1;1.771633029E-1;6.346755981E0;6.358726501E0;8.985883431E0
4.878858920E-1;5.171253681E-1;5.695560932E0;6.332391262E0;8.532643909E0
4.902426630E-1;7.876585126E-1;4.788197517E0;6.088193417E0;7.785456986E0
4.925984440E-1;8.499050736E-1;5.391510487E0;7.922072887E0;9.620289122E0
4.949547980E-1;7.852643728E-1;5.202376842E0;8.374557495E0;9.890125287E0
4.973118300E-1;5.027607679E-1;4.587093353E0;8.661849022E0;9.814368156E0
4.996685480E-1;2.226511836E-1;4.230372429E0;9.664977074E0;1.055260187E1
5.020247460E-1;-2.872918546E-2;3.643818378E0;1.055079365E1;1.116232433E1
5.043808400E-1;-2.657449543E-1;3.471443176E0;1.150603867E1;1.202125051E1
5.067368820E-1;-3.878439963E-1;3.337373734E0;1.194894695E1;1.241232531E1
5.090932880E-1;-2.250452936E-1;3.758735180E0;1.291137505E1;1.344925058E1
5.114490690E-1;5.267017335E-2;3.763523340E0;1.287546349E1;1.341433718E1
5.138053710E-1;3.447502255E-1;3.088387489E0;1.137436295E1;1.179123074E1
5.161613090E-1;4.285436869E-1;3.363708735E0;1.064895153E1;1.117579325E1
5.185173500E-1;2.250452936E-1;4.385989189E0;1.030180740E1;1.119887415E1
5.208734440E-1;-5.985246971E-2;4.955784321E0;9.248403549E0;1.049268072E1
5.232300070E-1;-2.226511836E-1;5.132947922E0;7.340306759E0;8.959733882E0
5.255865690E-1;-4.069967866E-1;5.247864723E0;5.690773010E0;7.751814497E0
5.279429750E-1;-4.500905871E-1;5.484880447E0;4.560758114E0;7.147517725E0
5.302985480E-1;-5.051548481E-1;6.107346058E0;4.395565510E0;7.541608147E0
5.326546420E-1;-3.998144865E-1;6.794452190E0;4.771439075E0;8.312103407E0
5.350110480E-1;6.703476608E-2;6.315632820E0;4.019691944E0;7.486630411E0
5.373671420E-1;4.381200671E-1;5.992429256E0;4.306983948E0;7.392649614E0
5.397240170E-1;4.333318770E-1;5.516003609E0;5.314899445E0;7.672172341E0
5.420808920E-1;2.920800447E-1;5.511215210E0;7.050621033E0;8.953773550E0
5.444376630E-1;1.053403467E-1;5.518397808E0;8.795919418E0;1.038421925E1
5.467945380E-1;4.548787698E-2;4.867202759E0;9.631459236E0;1.079151235E1
5.491512050E-1;1.316754371E-1;3.840134382E0;1.022998428E1;1.092778793E1
5.515079230E-1;2.250452936E-1;3.619877338E0;1.175981331E1;1.230639534E1
5.538642250E-1;3.208092451E-1;3.155422211E0;1.221229839E1;1.261744189E1
5.562208400E-1;2.920800447E-1;3.198515892E0;1.279166985E1;1.318873125E1
