"Time (s)";"Acceleration x (m/s²)";"Acceleration y (m/s²)";"Acceleration z (m/s²)"
7.771819686E1;4.620610774E-1;3.318220854E0;1.075907993E1
7.772055738E1;3.423561156E-1;2.810672045E0;1.168320179E1
7.772291822E1;3.351738453E-1;2.911224127E0;1.285870457E1
7.772527957E1;3.782676160E-1;3.009382248E0;1.323457813E1
7.772764061E1;3.639030159E-1;2.971076488E0;1.278688145E1
7.773000207E1;3.830558062E-1;3.193727732E0;1.234157944E1
7.773236295E1;4.213613868E-1;3.164998531E0;1.107510090E1
7.773472400E1;4.979725480E-1;3.552842617E0;9.935509682E0
7.773708467E1;4.572728574E-1;4.395565510E0;9.020964622E0
7.773944551E1;1.891338080E-1;4.895932198E0;7.445647240E0
7.774180681E1;-9.336985648E-2;4.821714878E0;5.410663128E0
7.774416832E1;-2.872918546E-1;5.707531452E0;5.233500004E0
7.774652952E1;-2.777154446E-1;5.966094017E0;4.642157555E0
7.774889056E1;-8.379346132E-2;5.460939407E0;3.533689737E0
7.775125170E1;-8.139935881E-2;5.932576656E0;4.397959709E0
7.775361280E1;-1.197049394E-1;5.915818214E0;5.539944649E0
7.775597327E1;-4.309377819E-2;5.310111046E0;6.049887657E0
7.775833358E1;9.576395154E-2;5.003666401E0;7.120049953E0
7.776069405E1;3.327797353E-1;4.682857037E0;8.676214218E0
7.776305525E1;5.865542293E-1;3.813799381E0;9.526119232E0
7.776541639E1;5.745837092E-1;3.758735180E0;1.147730923E1
7.776777681E1;5.674014091E-1;3.215274572E0;1.230806160E1
7.777013775E1;5.578250289E-1;2.516197920E0;1.219075108E1
7.777249915E1;5.003666282E-1;2.705331564E0;1.291855717E1
7.777485972E1;4.812138677E-1;2.971076488E0;1.341174126E1
7.777722108E1;4.931843579E-1;2.260029316E0;1.202316380E1
7.777958212E1;4.046027064E-1;3.011776209E0;1.209259319E1
7.778194368E1;3.519325256E-1;3.433137655E0;1.115171242E1
7.778430452E1;2.633508742E-1;3.988568544E0;9.657794952E0
7.778666592E1;7.182296365E-2;4.634975433E0;8.472715378E0
7.778902702E1;-1.580105126E-1;4.503299713E0;6.720235348E0
7.779138764E1;-4.333318770E-1;5.089854240E0;6.308450222E0
7.779374816E1;-6.320420504E-1;5.772171974E0;6.363514423E0
7.779610936E1;-6.344361901E-1;5.743443012E0;5.492062569E0
7.779847019E1;-5.219135284E-1;5.927788734E0;5.405875206E0
7.780083129E1;-2.537744641E-1;5.566279888E0;5.008454800E0
7.780319191E1;1.532223225E-1;4.979725361E0;5.061124802E0
7.780555327E1;5.458545089E-1;5.369963646E0;6.464066505E0
