"Time (s)";"Peak-Frequency"
5.155848660E1;1.655143821E0
5.170886727E1;1.655144240E0
5.184352930E1;1.655140244E0
5.198050321E1;1.655136935E0
5.212214165E1;1.655132091E0
5.226075660E1;1.655130976E0
5.239875425E1;1.655126178E0
5.253839555E1;1.655126686E0
5.265245045E1;1.655124242E0
5.278211623E1;1.655121869E0
5.291170941E1;1.655117481E0
5.304218951E1;1.655114725E0
5.317912342E1;1.655115634E0
5.331807290E1;9.930666407E0
5.345802811E1;1.158574632E1
5.359764175E1;1.158570836E1
5.373800743E1;1.986119763E1
5.388140675E1;1.986116017E1
5.402050248E1;1.158567090E1
5.415681680E1;1.158566696E1
5.429745019E1;1.158564517E1
5.443658894E1;1.655091722E0
5.457693206E1;1.655089046E0
5.471851191E1;1.820597774E1
5.487038071E1;1.655092275E1
5.499754243E1;1.655089813E1
5.513633774E1;1.986106834E1
5.527729055E1;1.986103548E1
5.541808102E1;1.986100102E1
5.555861081E1;1.986092353E1
5.569746977E1;1.986081939E1
5.583648352E1;1.986072734E1
5.597923769E1;1.986065157E1
5.611909899E1;9.930283562E0
5.625802920E1;1.986045411E1
5.639734404E1;1.986036153E1
5.653908170E1;1.986029443E1
5.667941086E1;1.655018400E0
5.681819175E1;1.655007716E0
5.697169607E1;1.654999181E0
5.710339326E1;1.654990967E0
5.724094779E1;1.654981264E0
5.737861862E1;1.654973354E0
5.751931904E1;1.654964373E0
5.765923993E1;4.964873885E0
5.779818545E1;1.654949106E0
5.793960190E1;1.654938004E0
5.807758451E1;1.654931128E0
5.821818555E1;1.654924476E0
5.835918737E1;1.654920338E0
5.849995711E1;1.654914051E0
5.864083487E1;1.654905749E0
5.877930310E1;1.654897866E0
5.892112909E1;1.654890465E0
5.903501607E1;1.654883207E0
5.917279456E1;1.654871374E0
5.931087769E1;1.654862261E0
5.944315690E1;1.654852399E0
5.957995623E1;1.654842270E0
5.971760633E1;3.971607837E1
5.985962414E1;1.985799532E1
5.999465816E1;1.985799114E1
6.013142248E1;3.971595511E1
6.026388868E1;3.971587144E1
6.039967670E1;3.971579846E1
6.053808253E1;3.309646751E0
6.067781659E1;3.309640171E0
6.081754628E1;1.654819666E0
6.095851425E1;1.654816483E0
6.109808477E1;1.654817090E0
6.125382659E1;1.654811116E0
6.138468571E1;1.654804491E0
6.152083420E1;3.309589171E0
6.165779602E1;6.619135009E0
6.179763847E1;1.985731270E1
6.193882513E1;4.964293910E0
6.208045243E1;1.654756247E0
6.221889847E1;1.654748883E0
6.235970164E1;3.971380543E1
6.249799352E1;3.971366250E1
6.263600925E1;1.654727940E0
6.277481456E1;1.654717340E0
6.291573461E1;3.309414621E0
6.305607112E1;3.309397575E0
6.319306399E1;3.309382384E0
6.334327144E1;1.654684542E0
6.347536565E1;1.654676982E0
6.361700586E1;1.654669119E0
6.375598300E1;1.654659946E0
6.389552914E1;3.309302473E0
6.403514065E1;1.654645050E0
6.417675951E1;1.654639086E0
6.431687008E1;1.654631732E0
6.445700675E1;1.654621543E0
6.459727378E1;1.654610542E0
6.473683300E1;1.654605274E0
6.487711300E1;1.654595799E0
6.501831701E1;3.309174501E0
6.515852586E1;1.654581742E0
6.530195503E1;1.654579246E0
6.541543862E1;1.654576233E0
6.555332091E1;1.654573818E0
6.569383211E1;1.654573960E0
6.583170143E1;1.654572543E0
6.596466294E1;1.654571500E0
6.610100737E1;1.654569182E0
6.624124279E1;3.309131305E0
6.637428878E1;1.654565046E0
6.651205310E1;1.654564583E0
6.664605758E1;1.654564761E0
6.678126940E1;1.654562622E0
6.691934737E1;1.654561820E0
6.705763076E1;1.654564226E0
6.719402024E1;1.654562809E0
6.733556076E1;1.654558736E0
6.747686143E1;1.654557104E0
6.761572977E1;1.654556026E0
6.775645711E1;1.654554100E0
6.789749195E1;3.970917220E1
6.803749445E1;3.970910546E1
6.817886810E1;1.654540472E0
6.832074727E1;1.654536211E0
6.845847565E1;1.654535169E0
6.859807747E1;1.654534955E0
6.874580044E1;1.654531594E0
6.887767102E1;3.309068679E0
6.901848867E1;1.654533636E0
6.915970753E1;1.654531576E0
6.929878294E1;1.654533172E0
6.944716669E1;1.654530418E0
6.958489669E1;1.654527583E0
6.971968055E1;4.963563685E0
6.985650081E1;4.963536598E0
6.999497721E1;4.963515421E0
7.013526247E1;1.654496985E0
7.027214091E1;1.654487528E0
7.039711346E1;1.654478135E0
7.053540357E1;1.654468990E0
7.067452581E1;1.654459801E0
7.081064971E1;1.654450845E0
7.094142081E1;1.654444249E0
7.107701607E1;1.654440729E0
7.121594997E1;1.654440774E0
7.135455997E1;1.654440613E0
7.149379930E1;3.308881618E0
7.164256018E1;1.654443224E0
7.175490815E1;1.654444347E0
7.187992846E1;1.654442699E0
7.201778237E1;1.654442672E0
7.215237169E1;1.654440168E0
7.228340190E1;1.654440194E0
7.241822159E1;1.654440560E0
7.255662388E1;3.308876966E0
7.269667758E1;3.308877251E0
7.283551945E1;1.654435034E0
7.297136378E1;1.654433225E0
7.310288555E1;1.654426309E0
7.323890263E1;3.308851531E0
7.337667424E1;1.654422406E0
7.351569841E1;4.963258073E0
7.365494211E1;4.963255667E0
7.379161065E1;1.654414002E0
7.392359763E1;1.654410054E0
7.405980070E1;1.654406221E0
7.419643284E1;1.654404965E0
7.433585357E1;1.654402969E0
7.447519294E1;1.654400322E0
7.461768018E1;1.654396597E0
7.475896721E1;1.654391178E0
7.489688471E1;1.654390323E0
7.502912935E1;1.654387997E0
7.517952054E1;1.654389218E0
7.530231872E1;1.654384067E0
7.543870211E1;1.654379772E0
7.557885377E1;1.654374790E0
7.571752450E1;1.654371609E0
7.585674065E1;1.654368997E0
7.599735403E1;1.654363259E0
7.613650258E1;1.654359899E0
7.627688226E1;1.654353777E0
7.641616742E1;3.308700834E0
7.655575273E1;3.308692119E0
7.669613445E1;4.963023475E0
7.683755117E1;1.654335063E0
7.697676638E1;9.925974022E0
7.711838200E1;9.925948680E0
7.727336929E1;9.925937023E0
7.740384461E1;1.158023029E1
7.753992023E1;1.158022767E1
7.767863049E1;4.962941618E0
7.781813101E1;4.962931086E0
7.796046289E1;3.308623326E0
7.809880008E1;3.308616394E0
7.823797481E1;3.308603366E0
7.837939883E1;3.308596166E0
7.851721997E1;4.962878076E0
7.865876258E1;1.654289155E0
7.879779466E1;1.654284165E0
7.893746862E1;1.654277847E0
7.907728731E1;1.654272563E0
7.923630539E1;1.654263831E0
7.934925507E1;4.962782271E0
7.947454877E1;3.308512746E0
7.961449820E1;6.617009275E0
7.973655492E1;1.654248024E0
7.987720002E1;1.654244763E0
8.001863054E1;1.654241386E0
8.015743497E1;1.654241689E0
8.029862315E1;1.654240513E0
8.043743320E1;1.654241377E0
8.057848684E1;3.308483859E0
8.071822502E1;1.654241769E0
8.085944486E1;1.654239791E0
8.100601700E1;1.654236459E0
8.112175497E1;1.985080308E1
8.126009486E1;1.985075432E1
8.139884002E1;1.985067830E1
8.153964737E1;4.962651640E0
8.167725846E1;9.925284675E0
8.181824372E1;4.962632956E0
8.195704737E1;4.962634666E0
8.209588252E1;4.962633517E0
8.223620351E1;1.654207903E0
8.237334752E1;1.654206932E0
8.251080231E1;1.654205951E0
8.264406096E1;1.654203911E0
8.278242278E1;1.654206014E0
8.291924294E1;9.925212187E0
8.305785492E1;9.925212667E0
8.319800690E1;9.925207322E0
8.333383393E1;8.271004319E0
8.346570710E1;8.271006815E0
8.359992679E1;8.271012204E0
8.373804580E1;8.271026327E0
8.387694273E1;4.962621623E0
8.401607549E1;9.925235762E0
8.415554440E1;9.925228598E0
8.429192200E1;9.925228437E0
8.442497278E1;1.157944939E1
8.455983424E1;1.157943343E1
8.469900309E1;9.925233142E0
8.483871247E1;9.925220686E0
8.497805872E1;8.271010735E0
8.511879773E1;1.654201131E0
8.525824018E1;1.654199118E0
8.541360747E1;1.654199501E0
8.554641731E1;1.654201889E0
8.568254257E1;1.654204392E0
8.581978778E1;3.308413916E0
8.595810742E1;3.308420652E0
8.609290773E1;4.962639772E0
8.622900721E1;1.157953546E1
8.636261288E1;4.962683849E0
8.649861018E1;9.925415919E0
8.663866367E1;1.157971178E1
8.677777736E1;1.157976486E1
8.691847106E1;4.962764468E0
8.706756596E1;1.654258583E0
8.720837804E1;1.654255049E0
8.731843658E1;3.639355306E1
8.745647408E1;3.639365284E1
8.759561372E1;1.819685298E1
8.773776450E1;3.804808562E1
8.787746278E1;1.985125990E1
8.801630653E1;1.985133325E1
8.815540705E1;1.985141237E1
8.829742538E1;1.985149278E1
8.843783049E1;4.135742610E1
8.857899585E1;2.150591092E1
8.871881450E1;1.158014487E1
8.885867101E1;1.654311881E0
8.899810049E1;3.308633457E0
8.913777518E1;2.316052427E1
8.927857913E1;2.316059900E1
8.941764184E1;2.316070791E1
8.957036377E1;2.316081757E1
8.970305143E1;2.481525752E1
8.983932085E1;2.481532302E1
8.997690653E1;2.481543450E1
9.011746200E1;8.271829857E0
9.025744413E1;8.271840284E0
9.039762533E1;8.271864611E0
9.053349090E1;8.271887024E0
9.066969137E1;8.271917903E0
9.080363351E1;8.271939113E0
9.093921168E1;8.271956536E0
9.107996434E1;8.271984785E0
9.121784106E1;8.272019319E0
9.135698596E1;9.926430026E0
9.149706408E1;9.926464355E0
9.165660372E1;9.926470344E0
9.179236950E1;9.926498792E0
9.192434726E1;9.926531570E0
9.205985356E1;9.926560284E0
9.219869054E1;9.926606966E0
9.233784694E1;9.926655199E0
9.247812116E1;9.926689315E0
9.261783554E1;9.926742896E0
9.275699622E1;3.308921518E1
9.289786132E1;3.308926687E1
9.303818861E1;3.308933924E1
9.317764965E1;3.308938238E1
9.331778674E1;3.308944102E1
9.345755366E1;3.474391812E1
9.360026663E1;3.474399524E1
9.373672622E1;3.474407404E1
9.385190757E1;3.474417230E1
9.399326898E1;3.474422658E1
9.412645106E1;3.639880238E1
9.426375325E1;1.158146588E1
9.440203528E1;1.158148516E1
9.454166194E1;1.158153670E1
9.468205184E1;1.158158761E1
9.482116621E1;1.158163296E1
9.496157205E1;1.158168781E1
9.510135049E1;1.158170933E1
9.523993663E1;1.158171570E1
9.538182845E1;8.272653000E0
9.552138434E1;4.963601560E0
9.566223512E1;4.963609582E0
9.579238601E1;4.963609475E0
9.591246377E1;4.963613379E0
9.603639595E1;8.272687405E0
9.617997903E1;1.323628887E1
9.632229252E1;1.323632103E1
9.646356231E1;9.927276762E0
9.660238851E1;9.927293234E0
9.673823236E1;1.654552562E0
9.688140434E1;1.654557461E0
9.702182741E1;1.654561160E0
9.716281679E1;1.654564244E0
9.730268830E1;1.654563121E0
9.744172226E1;1.654563166E0
9.758224528E1;1.654563059E0
9.772349548E1;1.654561454E0
9.786197121E1;9.927351611E0
9.800338293E1;9.927330326E0
9.814504330E1;9.927335086E0
9.828964574E1;9.927340701E0
9.840637866E1;3.309112551E0
9.854494736E1;8.272794079E0
9.868333824E1;9.927327973E0
9.882108272E1;1.654553040E0
9.896001179E1;1.654549751E0
9.910275403E1;1.654546693E0
9.924450627E1;1.654544127E0
9.938319600E1;1.654539509E0
9.952304939E1;1.654538333E0
9.963741559E1;1.489080817E1
9.977982054E1;1.489078828E1
9.992108272E1;1.654530846E0
1.000627212E2;1.323620733E1
